em_KEGG_ko,kegg_pathway_id,Overview_category,pathway_name
K22845,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K23053,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K23179,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K23180,ko00941,Biosynthesis of other secondary metabolites,Flavonoid biosynthesis
K12338,ko00942,Biosynthesis of other secondary metabolites,Anthocyanin biosynthesis
K12930,ko00942,Biosynthesis of other secondary metabolites,Anthocyanin biosynthesis
K12931,ko00942,Biosynthesis of other secondary metabolites,Anthocyanin biosynthesis
K12932,ko00942,Biosynthesis of other secondary metabolites,Anthocyanin biosynthesis
K12933,ko00942,Biosynthesis of other secondary metabolites,Anthocyanin biosynthesis
K12934,ko00942,Biosynthesis of other secondary metabolites,Anthocyanin biosynthesis
K12935,ko00942,Biosynthesis of other secondary metabolites,Anthocyanin biosynthesis
K12936,ko00942,Biosynthesis of other secondary metabolites,Anthocyanin biosynthesis
K12937,ko00942,Biosynthesis of other secondary metabolites,Anthocyanin biosynthesis
K12938,ko00942,Biosynthesis of other secondary metabolites,Anthocyanin biosynthesis
K12939,ko00942,Biosynthesis of other secondary metabolites,Anthocyanin biosynthesis
K17192,ko00942,Biosynthesis of other secondary metabolites,Anthocyanin biosynthesis
